Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1µF","C_0805_2012Metric",18.796000,-18.542000,0.000000,top
"C2","100nF","C_0805_2012Metric",18.542000,-35.560000,0.000000,top
"C3","100nF","C_0805_2012Metric",11.684000,-29.718000,90.000000,top
"C4","100nF","C_0805_2012Metric",26.162000,-25.400000,270.000000,top
"C5","100nF","C_0805_2012Metric",18.796000,-20.828000,0.000000,top
"C6","10µF","C_0805_2012Metric",15.748000,-19.558000,90.000000,top
"C7","100nF","C_0805_2012Metric",29.464000,-6.096000,90.000000,top
"C8","10µF","C_0805_2012Metric",31.750000,-6.096000,90.000000,top
"C9","22pF","C_0805_2012Metric",8.382000,-24.384000,0.000000,top
"C10","22pF","C_0805_2012Metric",8.382000,-26.924000,0.000000,top
"C11","100nF","C_0805_2012Metric",10.668000,-40.894000,0.000000,top
"C12","100nF","C_0805_2012Metric",19.304000,-51.562000,90.000000,top
"C13","22µF","C_0805_2012Metric",23.876000,-54.864000,0.000000,top
"C14","22µF","C_0805_2012Metric",20.066000,-54.864000,180.000000,top
"C15","22µF","C_0805_2012Metric",20.066000,-57.404000,180.000000,top
"C16","22µF","C_0805_2012Metric",23.876000,-57.404000,0.000000,top
"C17","220pF","C_0805_2012Metric",27.686000,-54.864000,180.000000,top
"C18","220pF","C_0805_2012Metric",27.686000,-47.244000,180.000000,top
"C19","10µF","C_0805_2012Metric",30.734000,-72.136000,90.000000,top
"C20","150µF","CP_EIA-7343-31_Kemet-D",28.702000,-76.962000,0.000000,top
"C21","10nF","C_0805_2012Metric",19.558000,-64.262000,180.000000,top
"C22","10pF","C_0805_2012Metric",23.876000,-64.262000,180.000000,top
"C23","22µF","C_0805_2012Metric",16.510000,-66.802000,270.000000,top
"C24","22µF","C_0805_2012Metric",14.224000,-66.802000,270.000000,top
"C25","1µF","C_0805_2012Metric",4.572000,-65.786000,270.000000,top
"C26","4.7nF","C_0805_2012Metric",11.684000,-87.630000,90.000000,top
"C27","100nF","C_0805_2012Metric",10.414000,-3.810000,270.000000,top
"D1","BLUE","LED_0402_1005Metric",26.924000,-88.392000,90.000000,top
"D2","RED","LED_0402_1005Metric",25.654000,-88.392000,90.000000,top
"D3","GREEN","LED_0402_1005Metric",9.144000,-88.392000,0.000000,top
"D4","ESD5V5U5ULC","SOT-23-6",13.208000,-77.724000,90.000000,top
"F1","1.5A","Fuse_1206_3216Metric_Castellated",22.606000,-74.676000,270.000000,top
"J1","Micro_SD_Card","5009010801",9.652000,-48.768000,90.000000,top
"J2","JTAG","PinHeader_2x05_P1.27mm_Vertical_SMD",19.050000,-12.192000,180.000000,top
"J3","USB_B_Mini","USB_Mini-B_Wuerth_65100516121_Horizontal",19.000000,-85.184000,0.000000,top
"L1","Choke","L_0805_2012Metric",27.686000,-52.324000,0.000000,top
"L2","Choke","L_0805_2012Metric",27.686000,-49.784000,0.000000,top
"L3","1µH","L_Wuerth_MAPI-4020",19.050000,-71.628000,90.000000,top
"Q1","CSD16301Q2","Texas_DQK",10.160000,-7.620000,90.000000,top
"Q2","CSD16301Q2","Texas_DQK",7.112000,-7.620000,270.000000,top
"R1","10k","R_0805_2012Metric",30.480000,-13.462000,180.000000,top
"R2","10k","R_0805_2012Metric",30.480000,-15.748000,180.000000,top
"R3","120R","R_0805_2012Metric",28.448000,-82.804000,90.000000,top
"R4","100k","R_0805_2012Metric",19.304000,-47.752000,90.000000,top
"R5","120R","R_0805_2012Metric",26.162000,-82.804000,270.000000,top
"R6","316k","R_0805_2012Metric",23.876000,-66.548000,180.000000,top
"R7","120R","R_0805_2012Metric",9.144000,-85.344000,270.000000,top
"R8","2k","R_0805_2012Metric",27.686000,-68.834000,180.000000,top
"R9","1k","R_0805_2012Metric",23.876000,-61.976000,0.000000,top
"R10","95k3","R_0805_2012Metric",23.876000,-68.834000,0.000000,top
"R11","100k","R_0805_2012Metric",35.814000,-82.804000,90.000000,top
"R12","1M","R_0805_2012Metric",11.684000,-83.820000,270.000000,top
"R13","100k","R_0805_2012Metric",35.814000,-78.994000,90.000000,top
"R14","330R","R_0805_2012Metric",13.462000,-2.286000,180.000000,top
"R15","2k2","R_0805_2012Metric",7.366000,-2.286000,180.000000,top
"R16","5M1","R_0805_2012Metric",12.700000,-7.620000,270.000000,top
"R17","5M1","R_0805_2012Metric",4.572000,-7.620000,270.000000,top
"R18","0R","R_1206_3216Metric",23.114000,-4.826000,90.000000,top
"SW1","Reset","EVQP7",4.572000,-86.360000,180.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",32.512000,-87.724000,0.000000,top
"U1","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",30.637000,-10.087000,0.000000,top
"U2","ATSAMD21G18A-AU","TQFP-48_7x7mm_P0.5mm",19.050000,-28.194000,0.000000,top
"U3","MAX98357","QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm_ThermalVias",23.114000,-50.292000,0.000000,top
"U4","MCP73831-2-OT","SOT-23-5",27.432000,-72.136000,0.000000,top
"U5","MIC5201","SOT-223-3_TabPin2",9.398000,-67.818000,270.000000,top
"U6","TPS61230A","TPS61230A",19.573000,-67.310000,270.000000,top
"U7","BQ297xy","WSON-6_1.5x1.5mm_P0.5mm",7.874000,-4.572000,0.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",11.684000,-25.654000,90.000000,top
